actual_position,RB,RWB,RM,RWF,RF,RCB,RDM,RCM,RAM,RCF,CB,CDM,CM,CAM,CF,LCB,LDM,LCM,LAM,LCF,LB,LWB,LM,LWF,LF
Center Attacking Midfield,0.0175489169475174,0.025805050033927954,0.0342195972896643,0.040307010333039926,0.04090648909526349,0.02149589883807239,0.03321451237823331,0.04579969728802038,0.054295978645026305,0.05433045611200332,0.024362863311795966,0.038263274322723397,0.052233756887426215,0.06209592651950085,0.06162970614639973,0.02289115500682596,0.036033326660853376,0.04910346329146069,0.05754773642465852,0.056691016852685495,0.018960750747728343,0.02809705234251165,0.03735102069180834,0.043188222782401794,0.043627121050449774
Center Back,0.049257114131116296,0.03835746675126069,0.026031316444798537,0.01691038863535065,0.011290059392635356,0.09829453152052367,0.07501049126303845,0.0493713013973913,0.031219100822205654,0.019412176147585353,0.12147589651997857,0.08518133818799949,0.05217421742660219,0.032569738185204346,0.02076986821161898,0.07174764940923278,0.05253617823224615,0.03459650600023999,0.022777614067309826,0.014944309356093102,0.02556003640759476,0.020268359521863802,0.014096860278111996,0.009659921902685243,0.006487559787311688
Center Defensive Midfield,0.026139983798942727,0.03362058964092689,0.034152789435656,0.029673771015504877,0.022708834997988696,0.046073085466926816,0.054178321891441936,0.053544528542728016,0.044533520551920905,0.03167761971533059,0.053423541557381736,0.0634721438258693,0.061989962045449584,0.050015240910892274,0.034571798250107415,0.045658113337922954,0.05273116076767887,0.05111812563231862,0.04142040656572699,0.02865429899405056,0.027211206600384938,0.0318071803211332,0.031894464772114696,0.028091094412418638,0.021638216949181617
Center Forward,0.009401076571857361,0.017404166319353234,0.029195858853267143,0.04328195827456172,0.05332592706635432,0.012549512318728088,0.024068588999378596,0.04184334385343648,0.06338319329759895,0.07898986705661962,0.014341787592062569,0.027505241587488797,0.04768763227016105,0.07213705180753517,0.09100259037840178,0.013076346454752658,0.024682730943753013,0.042153588285190655,0.06318382082893205,0.07903173800767868,0.009766598286081798,0.017913254686412566,0.029591091637711595,0.04286100113996851,0.05162203348271242
Left Attacking Midfield,0.007230327892833017,0.012190634671303914,0.019863369732856614,0.02833380774376014,0.031378088863255466,0.013334936196398318,0.022270802212599625,0.03474372104329395,0.046861234519192184,0.05032320391964082,0.020208004584952782,0.032798063245585894,0.04902712140711521,0.0632033898994269,0.0672409678636561,0.024761234592351033,0.03882493237763715,0.05632593080774338,0.07092779066848506,0.07431989646357363,0.023503636678874576,0.036833411239247084,0.05262380702932569,0.06274628746818714,0.060125398878703176
Left Back,0.0027411771712665916,0.002747711506792276,0.0026712820324714215,0.002487755016512434,0.002142112265513004,0.0025183951123767608,0.002549087115024415,0.0025520985594963993,0.002492709319479666,0.002334606166382112,0.0080512165577696,0.008168907803879705,0.007760614346574565,0.007076664063978149,0.006139291037139827,0.0427704789557076,0.04392851846025821,0.04109216412901177,0.03557744678501093,0.028240451761882897,0.15213707064455287,0.1665363743433676,0.16492012368763923,0.14558388076800072,0.11677986238991038
Left Center Back,0.00752805521993377,0.006238221166521442,0.004591664787289619,0.003226640260280412,0.002174326244138741,0.026749389466781143,0.020779516250733397,0.0143486846606277,0.009083138809116325,0.005500235769275662,0.08023360118481511,0.06143010089047312,0.03963448882140347,0.023080881191763884,0.012810557010649759,0.14246938463743247,0.10718926994796212,0.06614343188497997,0.03614153924633486,0.01858095635138995,0.11810686570407976,0.09128025841775159,0.05666239353441301,0.030545810763748876,0.015470587778102727
Left Center Midfield,0.016795825058023645,0.02195105584818658,0.02424404582982353,0.022901714578931004,0.01901956195693107,0.028831646666142213,0.03872156088260709,0.04222206906553103,0.03910838368253094,0.03146555568637471,0.04025508931918107,0.05423407822944997,0.05925519212886126,0.0543670836844844,0.043421928557160185,0.041895323534417724,0.056168907334423895,0.062169717513378554,0.05748864194485092,0.04581219578644939,0.03178755345777281,0.042070371016834626,0.046732751460526474,0.043586425279358416,0.035493321497767336
Left Defensive Midfield,0.020141225508941367,0.02516739598157687,0.026964037439022422,0.024139866697267313,0.019137458961276044,0.03623521325299609,0.04559158926555754,0.04767807259817725,0.04132429624827661,0.03076056705039304,0.047813236427747964,0.06009038984136492,0.062116936295111384,0.0534931237938018,0.038224245961213286,0.04591879571834914,0.057453398698357035,0.05956782924082017,0.05058752397608623,0.03641358224270403,0.031366054435372825,0.03921477167503273,0.040297122329665216,0.034569373510696666,0.025733892850190888
Left Wing,0.007181857140941914,0.011074994122619081,0.01582621294225282,0.02070416279935391,0.023653766012349815,0.009672013729445742,0.015098877261316361,0.021730650951935382,0.02776963489003662,0.030577257399035718,0.015586735926688043,0.02439982124422599,0.03479471949888183,0.043722383912959115,0.04723799007385805,0.02664271390545057,0.041347394266013006,0.057299857790049105,0.07014869084888956,0.07452915001910757,0.040033119075569834,0.05974518884709558,0.08128166526206657,0.09791463837571755,0.10202650370413917
